id,name,sku,price,cost,category_id,category_name,supplier_id
28,"UltraDisplay 34"" Ultrawide",MON-62704,1023.0,805.25,3,Monitors,1
29,ThreadRip i7-14700K,CPU-82814,151.99,99.26,5,Processors,23
30,ProAcc USB-C Hub 7-in-1,ACC-89325,64.99,46.05,8,Accessories,20
31,TurboSSD 1TB NVMe,SSD-28809,350.49,275.61,6,SSDs,7
32,ProAcc USB-C Hub 7-in-1,ACC-57015,31.99,22.73,8,Accessories,18
33,"UltraDisplay 34"" Ultrawide",MON-43039,566.49,369.8,3,Monitors,32
34,"ViewMax 27"" 4K",MON-11718,1341.95,817.0,3,Monitors,22
35,VengeanceX 32GB DDR5 6000,RAM-22782,230.49,158.01,7,RAM,1
36,UltraBook EliteBook,LAP-48963,590.99,419.9,1,Laptops,28
37,PixelForce 8 Ultra,PHN-83465,1368.95,1057.02,2,Smartphones,23
38,iNova S24,PHN-78713,659.49,511.07,2,Smartphones,40
39,SpeedRAM 32GB DDR5 6000,RAM-31509,293.95,228.19,7,RAM,2
40,PixelForce 12 Plus,PHN-83930,1242.95,947.31,2,Smartphones,18
41,GalaxyMax 12 Plus,PHN-10310,1333.95,859.71,2,Smartphones,30
42,RadeonPro RTX 4080,GPU-51834,340.99,226.98,4,Graphics Cards,5
43,EssentialX USB-C Hub 7-in-1,ACC-73829,131.99,105.09,8,Accessories,35
44,"ViewMax 27"" 4K",MON-97376,1778.99,1273.97,3,Monitors,17
45,NovaPad Studio 16,LAP-31165,1364.95,938.1,1,Laptops,33
46,NovaPad Ultra 14,LAP-66701,1136.49,682.28,1,Laptops,35
47,SpeedRAM 16GB DDR4 3600,RAM-06513,146.0,114.49,7,RAM,40
48,"ViewMax 34"" Ultrawide",MON-33872,1112.49,740.07,3,Monitors,45
49,"UltraDisplay 32"" QHD",MON-62473,956.0,703.1,3,Monitors,12
50,QuickStore 1TB SATA,SSD-17810,296.99,195.24,6,SSDs,28
51,ConnectPro USB-C Hub 7-in-1,ACC-80132,98.99,63.62,8,Accessories,31
52,ProAcc Mechanical Keyboard RGB,ACC-67736,63.49,45.96,8,Accessories,6
53,ProAcc USB-C Hub 7-in-1,ACC-02606,52.99,32.05,8,Accessories,16
54,ConnectPro Mechanical Keyboard RGB,ACC-47468,96.95,69.33,8,Accessories,46
55,FuryMax 64GB DDR5 5600,RAM-72343,95.49,57.4,7,RAM,49
56,TechGear Webcam 4K,ACC-09805,51.95,38.4,8,Accessories,30
57,UltraBook Pro 15,LAP-00978,1641.95,1204.4,1,Laptops,36
58,NVMePro 4TB NVMe,SSD-82081,416.95,285.76,6,SSDs,36
59,RyzenForce Ryzen 7 7800X3D,CPU-21913,415.95,319.44,5,Processors,18
60,TidalForce 64GB DDR5 5600,RAM-61939,199.99,123.09,7,RAM,19
61,PixelForce 8 Ultra,PHN-90916,1360.99,857.65,2,Smartphones,25
62,SpeedRAM 16GB DDR5 5600,RAM-99854,142.99,99.12,7,RAM,4
63,OnePower 12 Plus,PHN-35346,1376.49,1017.37,2,Smartphones,49
64,NVMePro 1TB NVMe,SSD-24751,474.99,322.04,6,SSDs,27
65,ThreadRip Ryzen 9 7950X,CPU-07991,728.99,477.19,5,Processors,32
66,PowerEdge Studio 16,LAP-18384,2310.95,1811.57,1,Laptops,40
67,EpicCore Ryzen 9 7950X,CPU-25135,495.99,361.35,5,Processors,9
68,ProAcc Mechanical Keyboard RGB,ACC-42784,59.99,41.45,8,Accessories,22
69,FuryMax 16GB DDR4 3600,RAM-98084,233.95,152.17,7,RAM,6
70,ThreadRip i7-14700K,CPU-12411,799.99,584.02,5,Processors,50
71,TechGear Mechanical Keyboard RGB,ACC-82449,190.99,115.37,8,Accessories,10
72,OnePower S24,PHN-35348,933.99,691.05,2,Smartphones,50
73,QuadroView RX 7900 XTX,GPU-74016,1938.49,1464.64,4,Graphics Cards,11
74,TechGear Headset 7.1,ACC-40052,14.99,11.02,8,Accessories,25
75,RadeonPro RTX 4070,GPU-42786,1306.95,847.65,4,Graphics Cards,45
76,TidalForce 16GB DDR5 5600,RAM-80112,244.49,148.7,7,RAM,35
77,ArcForce RTX 4070,GPU-80598,1160.99,893.86,4,Graphics Cards,32
78,PowerEdge Studio 16,LAP-26204,2268.99,1694.39,1,Laptops,42
79,"GameView 24"" Full HD",MON-50533,1036.95,745.04,3,Monitors,21
80,TechGear USB-C Hub 7-in-1,ACC-15869,177.99,123.34,8,Accessories,40
81,VengeanceX 16GB DDR5 5600,RAM-23226,163.99,114.38,7,RAM,23
82,EssentialX USB-C Hub 7-in-1,ACC-02563,177.49,116.3,8,Accessories,1
83,RyzenForce i7-14700K,CPU-42160,268.99,191.26,5,Processors,16
84,FuryMax 64GB DDR5 5600,RAM-73375,244.99,157.85,7,RAM,45
85,"GameView 34"" Ultrawide",MON-43303,1051.49,720.38,3,Monitors,48
86,QuickStore 1TB SATA,SSD-65414,171.99,107.34,6,SSDs,13
87,"GameView 32"" QHD",MON-58685,544.49,356.8,3,Monitors,38
88,ConnectPro Headset 7.1,ACC-01429,63.99,40.88,8,Accessories,15
89,ArcForce RTX 4070,GPU-40196,1503.99,916.09,4,Graphics Cards,4
90,FlashMax 1TB SATA,SSD-55698,96.99,63.71,6,SSDs,31
91,RyzenForce i7-14700K,CPU-16934,276.95,172.49,5,Processors,5
92,GeForceMax RX 7900 XTX,GPU-06088,1370.99,863.5,4,Graphics Cards,37
93,TechGear Wireless Mouse,ACC-35615,32.95,23.77,8,Accessories,40
94,RedNova 12 Plus,PHN-95148,785.99,606.81,2,Smartphones,28
95,"GameView 27"" 4K",MON-46564,1297.49,1024.39,3,Monitors,14
96,QuickStore 1TB NVMe,SSD-82366,120.99,74.41,6,SSDs,1
97,QuadroView RX 7800 XT,GPU-29946,795.99,590.14,4,Graphics Cards,45
98,TechGear Wireless Mouse,ACC-80443,185.95,134.82,8,Accessories,43
99,ProAcc Webcam 4K,ACC-69957,31.99,20.15,8,Accessories,18
100,TechGear Mechanical Keyboard RGB,ACC-77387,41.99,31.48,8,Accessories,37
101,GearMax Mechanical Keyboard RGB,ACC-21489,99.99,68.04,8,Accessories,18
102,EpicCore Ryzen 7 7800X3D,CPU-51343,156.99,107.76,5,Processors,21
103,SpeedDrive 1TB NVMe,SSD-32003,153.49,118.51,6,SSDs,38
104,EssentialX Headset 7.1,ACC-79176,17.95,12.46,8,Accessories,42
105,XeonPro i9-14900K,CPU-93676,797.99,608.75,5,Processors,6
106,EpicCore i5-14600K,CPU-32016,324.99,205.45,5,Processors,27
107,VengeanceX 64GB DDR5 5600,RAM-32870,249.49,172.39,7,RAM,21
108,"ViewMax 24"" Full HD",MON-83172,1756.95,1054.57,3,Monitors,35
109,CoreMax i9-14900K,CPU-78895,462.49,323.6,5,Processors,29
110,SpeedRAM 16GB DDR4 3600,RAM-79868,178.0,122.4,7,RAM,45
111,CoreMax Ryzen 9 7950X,CPU-72774,659.49,436.68,5,Processors,1
112,SpeedDrive 2TB NVMe,SSD-34873,496.0,343.38,6,SSDs,8
113,FlashMax 1TB SATA,SSD-47143,469.99,348.3,6,SSDs,27
114,GearMax Wireless Mouse,ACC-45581,96.99,61.89,8,Accessories,39
115,RyzenForce i7-14700K,CPU-22362,293.95,200.76,5,Processors,33
116,"ViewMax 34"" Ultrawide",MON-31665,1506.95,1078.95,3,Monitors,43
117,RyzenForce Ryzen 7 7800X3D,CPU-87603,477.99,339.56,5,Processors,35
118,ArcForce RTX 4080,GPU-66909,1967.99,1331.53,4,Graphics Cards,50
119,ArcForce RX 7800 XT,GPU-67054,1498.95,1015.11,4,Graphics Cards,43
120,ProAcc Webcam 4K,ACC-66889,193.99,153.85,8,Accessories,22
121,GearMax Mechanical Keyboard RGB,ACC-37346,109.99,81.89,8,Accessories,27
122,ProAcc Mechanical Keyboard RGB,ACC-70656,99.0,66.1,8,Accessories,45
123,GeForceMax RTX 4090,GPU-27298,1748.95,1182.29,4,Graphics Cards,21
124,NVMePro 4TB NVMe,SSD-06990,66.99,48.65,6,SSDs,19
125,TechGear Webcam 4K,ACC-16272,195.95,145.16,8,Accessories,7
126,XeonPro i7-14700K,CPU-04653,132.95,87.57,5,Processors,24
127,RadeonPro RX 7900 XTX,GPU-75564,1000.49,636.32,4,Graphics Cards,12
128,SlimForce EliteBook,LAP-64170,2207.99,1582.32,1,Laptops,15
129,XeonPro Ryzen 7 7800X3D,CPU-80531,278.99,212.29,5,Processors,19
130,SpeedRAM 16GB DDR5 5600,RAM-00330,149.99,107.62,7,RAM,41
131,EssentialX Webcam 4K,ACC-92327,170.99,115.75,8,Accessories,31
132,SlimForce EliteBook,LAP-19374,1397.99,1034.31,1,Laptops,2
133,GearMax USB-C Hub 7-in-1,ACC-52991,11.95,9.03,8,Accessories,4
134,GearMax USB-C Hub 7-in-1,ACC-24190,157.99,120.13,8,Accessories,15
135,TurboSSD 500GB SATA,SSD-49663,354.49,259.43,6,SSDs,9
136,SpeedDrive 500GB SATA,SSD-19314,404.99,272.55,6,SSDs,9
137,PowerEdge Gaming X,LAP-91905,2368.99,1484.01,1,Laptops,35
138,EssentialX Headset 7.1,ACC-86518,105.99,67.08,8,Accessories,31
139,EssentialX USB-C Hub 7-in-1,ACC-50671,162.99,100.25,8,Accessories,49
140,GearMax Headset 7.1,ACC-65726,79.95,48.19,8,Accessories,35
141,PixelForce 8 Ultra,PHN-28498,959.95,756.5,2,Smartphones,7
142,FuryMax 16GB DDR5 5600,RAM-77694,197.0,131.12,7,RAM,40
143,GalaxyMax 12 Plus,PHN-53147,1382.99,942.73,2,Smartphones,9
144,TechPro Gaming X,LAP-37996,2989.99,1934.4,1,Laptops,35
145,OnePower 8 Ultra,PHN-50752,1071.49,845.61,2,Smartphones,27
146,FlashMax 1TB SATA,SSD-73545,344.95,249.44,6,SSDs,18
147,PowerEdge Ultra 14,LAP-49480,1608.0,1239.91,1,Laptops,7
148,EssentialX Headset 7.1,ACC-83136,181.49,111.09,8,Accessories,18
149,GalaxyMax 12 Plus,PHN-78377,319.99,232.92,2,Smartphones,2
150,PowerEdge Ultra 14,LAP-70143,2972.95,1905.78,1,Laptops,49
151,TurboSSD 2TB NVMe,SSD-63495,415.99,314.02,6,SSDs,39
152,UltraBook Ultra 14,LAP-78856,1850.95,1151.26,1,Laptops,2
153,PixelForce 15 Pro,PHN-85574,965.99,630.86,2,Smartphones,9
154,TidalForce 16GB DDR5 5600,RAM-44313,231.99,175.29,7,RAM,33
155,NVMePro 4TB NVMe,SSD-51823,149.49,111.44,6,SSDs,43
156,EpicCore i7-14700K,CPU-37498,142.99,97.28,5,Processors,44
157,SlimForce Pro 15,LAP-94134,2748.99,1730.95,1,Laptops,9
158,"GameView 27"" 144Hz",MON-35240,1481.99,1066.26,3,Monitors,19
159,ThreadRip Ryzen 7 7800X3D,CPU-82400,169.49,130.6,5,Processors,42
160,ConnectPro Wireless Mouse,ACC-84271,91.95,62.78,8,Accessories,30
161,GeForceMax RTX 4090,GPU-09477,1025.49,692.06,4,Graphics Cards,10
162,FuryMax 16GB DDR5 5600,RAM-75204,54.99,37.74,7,RAM,48
163,SpeedRAM 32GB DDR4 3200,RAM-71167,46.0,32.77,7,RAM,43
164,PixelForce 12 Plus,PHN-19022,1328.49,1054.4,2,Smartphones,39
165,"ViewMax 27"" 144Hz",MON-94131,1113.99,775.82,3,Monitors,7
166,QuadroView RTX 4090,GPU-86999,495.99,320.03,4,Graphics Cards,28
167,ConnectPro Headset 7.1,ACC-38677,138.49,99.96,8,Accessories,43
168,EssentialX Mechanical Keyboard RGB,ACC-49649,44.49,29.44,8,Accessories,22
169,RadeonPro RTX 4080,GPU-90913,1262.99,793.63,4,Graphics Cards,41
170,TechGear Headset 7.1,ACC-34123,50.99,34.07,8,Accessories,24
171,"ProScreen 27"" 144Hz",MON-28120,1273.95,804.01,3,Monitors,49
172,SpeedDrive 500GB SATA,SSD-67974,249.99,180.35,6,SSDs,27
173,"GameView 27"" 4K",MON-03447,821.99,604.69,3,Monitors,38
174,XeonPro i7-14700K,CPU-13493,254.0,155.18,5,Processors,14
175,"UltraDisplay 32"" QHD",MON-61832,1575.99,983.41,3,Monitors,32
176,SpeedRAM 32GB DDR5 6000,RAM-42102,132.49,92.75,7,RAM,43
177,TechGear Webcam 4K,ACC-49947,173.99,105.05,8,Accessories,5
178,ConnectPro Webcam 4K,ACC-17464,118.49,80.99,8,Accessories,8
179,ArcForce RTX 4080,GPU-88771,1662.49,1274.14,4,Graphics Cards,24
180,TechPro Ultra 14,LAP-90659,1589.99,979.0,1,Laptops,20
181,SpeedRAM 16GB DDR4 3600,RAM-40139,240.99,175.11,7,RAM,34
182,XeonPro i5-14600K,CPU-90490,609.95,465.4,5,Processors,16
183,PowerEdge Ultra 14,LAP-27874,933.99,702.2,1,Laptops,5
184,OnePower 12 Plus,PHN-29671,1180.95,814.6,2,Smartphones,37
185,TurboSSD 500GB SATA,SSD-75655,438.49,276.33,6,SSDs,5
186,XeonPro i5-14600K,CPU-12567,513.99,316.02,5,Processors,30
187,CoreMax i5-14600K,CPU-46807,682.99,527.85,5,Processors,6
188,TurboSSD 1TB SATA,SSD-15451,258.49,196.03,6,SSDs,3
189,ThreadRip i9-14900K,CPU-68087,325.99,205.43,5,Processors,4
190,XeonPro i7-14700K,CPU-60385,453.99,294.89,5,Processors,29
191,ConnectPro Headset 7.1,ACC-97703,125.99,98.72,8,Accessories,25
192,ArcForce RX 7900 XTX,GPU-48247,389.49,259.76,4,Graphics Cards,22
193,SlimForce Gaming X,LAP-71093,1129.95,895.92,1,Laptops,39
194,EssentialX Mechanical Keyboard RGB,ACC-24808,120.99,81.06,8,Accessories,42
195,FuryMax 32GB DDR5 6000,RAM-61317,190.0,125.76,7,RAM,25
196,QuickStore 2TB NVMe,SSD-12748,351.95,263.17,6,SSDs,44
197,TechGear Webcam 4K,ACC-46773,106.99,70.8,8,Accessories,14
198,TitanX RTX 4080,GPU-78263,685.99,422.18,4,Graphics Cards,7
199,ThreadRip Ryzen 9 7950X,CPU-98214,126.99,95.66,5,Processors,9
200,FlashMax 2TB NVMe,SSD-65840,131.49,95.32,6,SSDs,11
201,MemoryPro 64GB DDR5 5600,RAM-44997,128.49,102.01,7,RAM,40
202,"ColorEdge 32"" QHD",MON-27875,1161.99,885.12,3,Monitors,31
203,ProAcc USB-C Hub 7-in-1,ACC-58867,138.49,95.3,8,Accessories,50
204,"ColorEdge 27"" 144Hz",MON-53396,1149.0,877.12,3,Monitors,39
205,PixelForce S24,PHN-36057,1033.95,735.04,2,Smartphones,7
206,TidalForce 16GB DDR5 5600,RAM-66270,106.95,70.01,7,RAM,33
207,OnePower S24,PHN-28951,1430.99,987.71,2,Smartphones,23
208,GearMax Mechanical Keyboard RGB,ACC-71870,85.99,58.24,8,Accessories,6
209,GeForceMax RTX 4090,GPU-26217,1882.95,1374.54,4,Graphics Cards,10
210,PixelForce 12 Plus,PHN-45961,1104.99,818.92,2,Smartphones,29
211,SpeedDrive 1TB NVMe,SSD-58657,165.95,117.78,6,SSDs,47
212,NVMePro 1TB NVMe,SSD-80913,399.99,249.74,6,SSDs,16
213,QuadroView RX 7800 XT,GPU-43161,406.95,284.85,4,Graphics Cards,35
214,NovaPad EliteBook,LAP-17240,1104.99,757.85,1,Laptops,40
215,QuadroView RX 7800 XT,GPU-05045,618.49,435.85,4,Graphics Cards,24
216,NovaPad EliteBook,LAP-56238,1768.0,1256.75,1,Laptops,25
217,TechGear Webcam 4K,ACC-69222,196.99,118.83,8,Accessories,5
218,GeForceMax RX 7900 XTX,GPU-19693,1549.99,943.74,4,Graphics Cards,35
219,"UltraDisplay 24"" Full HD",MON-79237,1965.99,1251.27,3,Monitors,9
220,SlimForce Pro 15,LAP-47407,1233.99,789.62,1,Laptops,3
221,"ProScreen 27"" 144Hz",MON-48217,916.95,636.99,3,Monitors,3
222,SpeedRAM 16GB DDR4 3600,RAM-59464,126.95,98.15,7,RAM,22
223,"ProScreen 24"" Full HD",MON-74367,1801.49,1403.23,3,Monitors,25
224,"UltraDisplay 24"" Full HD",MON-13695,1445.99,1098.17,3,Monitors,18
225,GearMax Mechanical Keyboard RGB,ACC-94406,91.0,57.88,8,Accessories,19
226,"ViewMax 34"" Ultrawide",MON-40909,1389.99,1001.52,3,Monitors,28
227,OnePower 8 Ultra,PHN-74395,781.49,611.38,2,Smartphones,40
228,EssentialX Mechanical Keyboard RGB,ACC-33942,24.49,16.47,8,Accessories,48
229,MemoryPro 32GB DDR5 6000,RAM-10470,259.49,178.43,7,RAM,9
230,PowerEdge Gaming X,LAP-95214,1457.49,1050.88,1,Laptops,44
231,XeonPro i5-14600K,CPU-56232,410.99,257.91,5,Processors,24
232,ArcForce RTX 4080,GPU-85884,1932.99,1231.72,4,Graphics Cards,34
233,QuadroView RTX 4070,GPU-24745,745.99,514.18,4,Graphics Cards,40
234,"ColorEdge 32"" QHD",MON-17123,420.95,290.63,3,Monitors,46
235,CoreMax i5-14600K,CPU-68516,567.49,402.92,5,Processors,19
236,ProAcc Wireless Mouse,ACC-04817,160.49,100.19,8,Accessories,13
237,ProAcc Webcam 4K,ACC-54965,14.49,9.76,8,Accessories,36
238,GalaxyMax S24,PHN-13709,602.0,447.75,2,Smartphones,34
239,TitanX RX 7900 XTX,GPU-85931,425.0,309.6,4,Graphics Cards,29
240,ThreadRip i5-14600K,CPU-74612,189.95,134.91,5,Processors,38
241,iNova 12 Plus,PHN-00471,853.95,654.36,2,Smartphones,34
242,iNova 15 Pro,PHN-13826,619.49,414.57,2,Smartphones,34
243,TechGear USB-C Hub 7-in-1,ACC-75869,47.0,30.78,8,Accessories,41
244,"GameView 27"" 4K",MON-26179,1104.99,871.09,3,Monitors,10
245,RedNova Note X,PHN-64053,638.0,388.06,2,Smartphones,2
246,NovaPad Gaming X,LAP-77351,2127.95,1454.07,1,Laptops,41
247,NovaPad Gaming X,LAP-58506,2104.99,1366.09,1,Laptops,44
248,TitanX RTX 4070,GPU-43171,1470.99,1004.87,4,Graphics Cards,30
249,RedNova 15 Pro,PHN-39005,606.49,452.95,2,Smartphones,23
250,ProAcc USB-C Hub 7-in-1,ACC-32931,107.99,70.02,8,Accessories,8
251,"UltraDisplay 32"" QHD",MON-83933,374.99,253.8,3,Monitors,40
252,RadeonPro RTX 4090,GPU-52904,1887.49,1204.16,4,Graphics Cards,11
253,ThreadRip Ryzen 7 7800X3D,CPU-22842,449.99,272.08,5,Processors,26
254,RyzenForce i9-14900K,CPU-10205,508.99,334.04,5,Processors,39
255,GearMax USB-C Hub 7-in-1,ACC-39502,111.95,76.82,8,Accessories,17
256,FuryMax 16GB DDR4 3600,RAM-40268,42.99,30.62,7,RAM,24
257,SpeedDrive 1TB SATA,SSD-11775,276.95,181.66,6,SSDs,40
258,MemoryPro 32GB DDR5 6000,RAM-89178,293.99,223.13,7,RAM,22
259,QuickStore 2TB NVMe,SSD-39084,139.49,97.65,6,SSDs,3
260,PowerEdge Studio 16,LAP-70076,1798.99,1400.74,1,Laptops,9
261,"GameView 34"" Ultrawide",MON-61771,492.0,367.95,3,Monitors,20
262,TurboSSD 4TB NVMe,SSD-15921,289.49,191.05,6,SSDs,2
263,GeForceMax RX 7800 XT,GPU-24998,1292.95,963.33,4,Graphics Cards,45
264,TurboSSD 1TB SATA,SSD-56984,169.49,134.64,6,SSDs,38
265,SpeedDrive 4TB NVMe,SSD-78961,266.49,198.33,6,SSDs,50
266,ProAcc Wireless Mouse,ACC-18367,15.0,9.33,8,Accessories,2
267,EpicCore i9-14900K,CPU-36576,389.99,273.13,5,Processors,40
268,TechGear Wireless Mouse,ACC-61565,108.49,86.75,8,Accessories,31
269,XeonPro i9-14900K,CPU-45271,421.49,298.94,5,Processors,44
270,VengeanceX 32GB DDR4 3200,RAM-11161,160.0,104.93,7,RAM,20
271,PixelForce 8 Ultra,PHN-52809,1116.49,779.09,2,Smartphones,31
272,ArcForce RTX 4090,GPU-88516,507.49,343.03,4,Graphics Cards,26
273,ProAcc USB-C Hub 7-in-1,ACC-56049,17.0,10.47,8,Accessories,29
274,NVMePro 2TB NVMe,SSD-45198,140.49,110.51,6,SSDs,45
275,"ViewMax 27"" 144Hz",MON-32731,1533.99,935.97,3,Monitors,34
276,iNova S24,PHN-58514,330.99,229.87,2,Smartphones,44
277,MemoryPro 32GB DDR4 3200,RAM-93689,294.99,215.51,7,RAM,31
278,RyzenForce i5-14600K,CPU-98094,324.49,253.62,5,Processors,6
279,FlashMax 4TB NVMe,SSD-02445,382.95,232.63,6,SSDs,12
280,RadeonPro RTX 4070,GPU-50229,1995.99,1395.35,4,Graphics Cards,48
281,EssentialX Mechanical Keyboard RGB,ACC-61201,11.49,7.14,8,Accessories,22
282,"GameView 27"" 144Hz",MON-83667,1089.0,838.76,3,Monitors,30
283,"ViewMax 34"" Ultrawide",MON-52545,492.99,321.16,3,Monitors,12
284,PowerEdge Gaming X,LAP-99102,1919.95,1219.36,1,Laptops,41
285,GearMax Headset 7.1,ACC-29014,72.99,45.19,8,Accessories,9
286,RyzenForce i7-14700K,CPU-76797,282.99,212.46,5,Processors,22
287,"GameView 27"" 4K",MON-64381,670.99,434.31,3,Monitors,43
288,PowerEdge Ultra 14,LAP-56149,1513.49,1179.04,1,Laptops,46
289,MemoryPro 16GB DDR4 3600,RAM-78403,129.99,102.88,7,RAM,31
290,RedNova 8 Ultra,PHN-69003,740.49,514.02,2,Smartphones,35
291,ProAcc Wireless Mouse,ACC-43244,139.49,105.66,8,Accessories,34
292,XeonPro i7-14700K,CPU-51076,742.99,568.95,5,Processors,33
293,RedNova 15 Pro,PHN-22683,413.95,284.95,2,Smartphones,44
294,RedNova 12 Plus,PHN-88516,318.49,242.61,2,Smartphones,30
295,OnePower 12 Plus,PHN-06071,933.49,685.7,2,Smartphones,20
296,FuryMax 16GB DDR4 3600,RAM-59696,250.49,179.27,7,RAM,3
297,GeForceMax RX 7900 XTX,GPU-64160,1990.0,1221.47,4,Graphics Cards,31
298,SlimForce Ultra 14,LAP-52975,2422.95,1927.86,1,Laptops,42
299,EssentialX Webcam 4K,ACC-16136,95.0,64.17,8,Accessories,6
300,TidalForce 32GB DDR5 6000,RAM-96816,206.99,131.58,7,RAM,35
301,RadeonPro RTX 4080,GPU-45352,1719.95,1368.56,4,Graphics Cards,30
302,TidalForce 64GB DDR5 5600,RAM-18188,173.95,112.98,7,RAM,23
303,iNova S24,PHN-35523,241.49,174.59,2,Smartphones,2
304,"ViewMax 27"" 4K",MON-12432,1269.99,932.69,3,Monitors,4
305,"ViewMax 24"" Full HD",MON-92127,990.49,743.74,3,Monitors,50
306,NovaPad Gaming X,LAP-79979,1085.0,776.02,1,Laptops,37
307,QuickStore 2TB NVMe,SSD-95527,185.99,136.15,6,SSDs,15
308,ArcForce RTX 4070,GPU-17744,1246.49,931.18,4,Graphics Cards,12
309,NVMePro 4TB NVMe,SSD-90581,273.0,215.21,6,SSDs,43
310,QuadroView RTX 4090,GPU-47700,1483.99,979.4,4,Graphics Cards,12
311,FuryMax 32GB DDR5 6000,RAM-54119,259.99,192.79,7,RAM,30
312,ConnectPro Webcam 4K,ACC-98679,193.49,121.28,8,Accessories,16
313,"ProScreen 27"" 4K",MON-80793,1860.95,1150.98,3,Monitors,47
314,TechGear USB-C Hub 7-in-1,ACC-59782,81.49,49.54,8,Accessories,5
315,RedNova Note X,PHN-07151,482.99,377.41,2,Smartphones,20
316,TechGear Wireless Mouse,ACC-82037,188.0,117.21,8,Accessories,49
317,RyzenForce Ryzen 9 7950X,CPU-78892,592.99,384.18,5,Processors,21
318,FuryMax 64GB DDR5 5600,RAM-55466,174.99,114.15,7,RAM,33
319,GearMax Mechanical Keyboard RGB,ACC-59051,162.49,122.25,8,Accessories,21
320,EssentialX USB-C Hub 7-in-1,ACC-51864,88.49,57.01,8,Accessories,10
321,NovaPad EliteBook,LAP-49251,1947.99,1228.17,1,Laptops,22
322,RedNova 15 Pro,PHN-92546,849.49,626.05,2,Smartphones,17
323,FuryMax 64GB DDR5 5600,RAM-29148,154.49,103.58,7,RAM,9
324,FuryMax 32GB DDR5 6000,RAM-65281,277.49,202.11,7,RAM,4
325,CoreMax i7-14700K,CPU-68505,635.99,488.76,5,Processors,15
326,UltraBook Pro 15,LAP-42357,1046.99,640.85,1,Laptops,41
327,TidalForce 64GB DDR5 5600,RAM-33221,208.99,147.64,7,RAM,27
328,NovaPad Gaming X,LAP-41888,1839.99,1288.81,1,Laptops,45
329,SpeedRAM 16GB DDR5 5600,RAM-05929,277.49,179.87,7,RAM,40
330,XeonPro i5-14600K,CPU-62229,656.99,520.24,5,Processors,30
331,FlashMax 500GB SATA,SSD-27065,357.95,261.57,6,SSDs,42
332,MemoryPro 64GB DDR5 5600,RAM-37947,132.49,80.98,7,RAM,1
333,MemoryPro 64GB DDR5 5600,RAM-38347,258.49,172.22,7,RAM,7
334,TechGear Wireless Mouse,ACC-35977,50.95,39.61,8,Accessories,31
335,"ViewMax 34"" Ultrawide",MON-46886,1818.49,1103.06,3,Monitors,21
336,UltraBook EliteBook,LAP-23924,860.95,657.92,1,Laptops,5
337,"GameView 32"" QHD",MON-07581,1220.95,897.9,3,Monitors,35
338,"UltraDisplay 27"" 4K",MON-81412,1101.0,672.42,3,Monitors,28
339,GalaxyMax 8 Ultra,PHN-47826,986.49,709.41,2,Smartphones,50
340,"ProScreen 24"" Full HD",MON-13750,1083.99,854.43,3,Monitors,28
341,RedNova 12 Plus,PHN-60685,311.49,236.61,2,Smartphones,46
